id,name,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume,boil_volume,method,ingredients,food_pairing
256,Small Batch: Vermont IPA,6.9,35.0,1012.0,1066.0,15.0,7.62,4.2,79.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.3, 'unit': 'kilograms'}}, {'name': 'Maris Otter', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 1, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Aroma'}, {'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Amarillo', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Simcoe', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Citra', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Amarillo', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Chicken Korma', 'Lobster Tail Salad', 'Chickpea and Apricot Tagine']"
257,Semi Skimmed Occultist,8.0,70.0,1014.0,1080.0,160.0,81.28,4.1,73.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 7.8, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 1, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Extra Dark Crystal', 'amount': {'value': 0.4, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.4, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.4, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Lactose', 'amount': {'value': 600, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Aroma'}, {'name': 'Coffee', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Cacoa Nibs', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Vanilla', 'amount': {'value': 4, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Pan-Seared Venison with Blackberries', 'Fig Tart', 'Dark Chocolate and Coffee Torte']"
258,Paradox Rye,13.0,100.0,1015.0,1112.0,300.0,152.0,4.4,84.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Age this beer in Rye Whisky Casks.'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.5, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.875, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 2, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.875, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.5, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 60, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Columbus', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Flavour'}, {'name': 'Saaz', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'First Gold', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Char-grilled Lamb Cutlets', 'BBQ Brisket', 'Chocolate and Strawberry Mousse']"
259,Tropic Thunder,7.0,25.0,1020.0,1074.0,170.0,86.36,4.2,73.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 3.8, 'unit': 'kilograms'}}, {'name': 'Medium Crystal', 'amount': {'value': 0.3, 'unit': 'kilograms'}}, {'name': 'Extra Dark Crystal', 'amount': {'value': 0.05, 'unit': 'kilograms'}}, {'name': 'Premium English Caramalt', 'amount': {'value': 0.3, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 2, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Hallertauer Mittelfrüh', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'First Gold', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Hallertauer Mittelfrüh', 'amount': {'value': 7, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Sweet Orange Peel', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Whirlpool', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Steak and Kidney Pie', 'Pork Carnitas', 'Chocolate Orange Brownies']"
260,New England IPA,6.8,45.0,1012.0,1065.0,17.0,9.0,4.2,79.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 68, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 3.4, 'unit': 'kilograms'}}, {'name': 'Torrified Wheat', 'amount': {'value': 0.39, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.56, 'unit': 'kilograms'}}], 'hops': [{'name': 'Mosaic', 'amount': {'value': 33, 'unit': 'grams'}, 'add': 'Whirlpool', 'attribute': 'Aroma'}, {'name': 'Citra', 'amount': {'value': 83, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 83, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'WLP4000 - Vermont Ale'}","[""Goat's Cheese Bruschetta"", 'Pan-Fried Lemon Sole', 'Baked Peaches with Citrus Fruit Reduction']"
261,Small Batch: Nitro Breakfast Stout,8.0,80.0,1027.0,1092.0,88.0,44.7,5.2,70.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 4.38, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.62, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.62, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.19, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Bitter'}, {'name': 'Lactose', 'amount': {'value': 262.5, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Aroma'}, {'name': 'Vanilla Extract', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Cacao Nibs', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Coffee', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Habanero Pulled Pork', 'Choc Chip Cookies,', 'Black Pudding Croquettes']"
262,Small Batch: Vermont IPA V2.0,6.9,35.0,1012.0,1066.0,15.0,7.6,4.2,79.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 68, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Propino Pale Malt', 'amount': {'value': 3.3, 'unit': 'kilograms'}}, {'name': 'Maris Otter', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.5, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 1, 'unit': 'grams'}, 'add': 'Middle', 'attribute': 'Aroma'}, {'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Amarillo', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Simcoe', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'End', 'attribute': 'Flavour'}, {'name': 'Citra', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Amarillo', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'WLP4000 - Vermont Ale'}","['Chicken Korma', 'Lobster Salad', 'Chicken and Apricot Tagine']"
263,Small Batch: Mandarina Lager,5.3,40.0,1008.0,1049.0,7.0,4.0,4.3,84.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 35}], 'fermentation': {'temp': {'value': 10, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pilsner', 'amount': {'value': 3.096, 'unit': 'kilograms'}}, {'name': 'Pale Ale', 'amount': {'value': 1.032, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 4, 'unit': 'grams'}, 'add': '70', 'attribute': 'Bitter'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 2126 - Bohemian Lager™'}","['Green Thai Curry', 'Fish Tacos', ""Goat's Cheese Salad With Walnuts, Radish And Blood Orange""]"
264,Small Batch: East Coast Crush,4.8,25.0,1010.0,1047.0,15.0,8.0,4.2,79.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 30}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.24, 'unit': 'kilograms'}}, {'name': 'Uncrushed Wheat', 'amount': {'value': 0.6, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.24, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Aroma'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Aroma'}, {'name': 'Citra', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Chickpea and Apricot Tagine', 'Pan-fried Lemon Sole', 'Lobster Salad']"
265,Pump Action Poet,7.5,40.0,1013.0,1070.0,12.0,6.0,5.2,81.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 40}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 4.86, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.54, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.54, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 40, 'unit': 'grams'}, 'add': 'Start', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 40, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Apricot Juice', 'amount': {'value': 1, 'unit': 'kilogram'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Peach Juice', 'amount': {'value': 1, 'unit': 'kilogram'}, 'add': 'Flame Out', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Citrus Salad', 'Spicy Chilli Prawns', 'Orange Zest Tart']"
266,Small Batch: Lemon Meringue Pie,6.5,5.0,1015.0,1066.0,7.0,4.0,4.0,77.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter', 'amount': {'value': 4.533, 'unit': 'kilograms'}}, {'name': 'Dextrin Malt', 'amount': {'value': 0.567, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.567, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 30, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Sorachi Ace', 'amount': {'value': 30, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Lemon Peel', 'amount': {'value': 4, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Coriander Seeds', 'amount': {'value': 2, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Lemon Concentrate', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}",['Lemon Tart']
267,AB:22,12.5,70.0,1020.0,1115.0,100.0,51.0,4.1,83.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 8.16, 'unit': 'kilograms'}}, {'name': 'Golden Naked Oats', 'amount': {'value': 0.96, 'unit': 'kilograms'}}, {'name': 'Medium Crystal', 'amount': {'value': 0.48, 'unit': 'kilograms'}}, {'name': 'Brown', 'amount': {'value': 0.24, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.12, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 40, 'unit': 'grams'}, 'add': 'First Wort Hops', 'attribute': 'Bittering'}, {'name': 'American Oak Chips Medium Toast Soaked In Speyside Whisky', 'amount': {'value': 4, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Black Pepper', 'amount': {'value': 4, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Cardamon', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Ginger', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Nutmeg', 'amount': {'value': 2, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Cinnamon', 'amount': {'value': 2, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}, {'name': 'Star Anis', 'amount': {'value': 1, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Roast Pheasant With Savoy Cabbage', 'Chilli Beer Tacos', 'Dark Chocolate Truffles']"
268,Hazy Jane,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2,86.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 25}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 3.96, 'unit': 'kilograms'}}, {'name': 'Maris Otter', 'amount': {'value': 0.96, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.6, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.24, 'unit': 'kilograms'}}], 'hops': [{'name': 'Chinook', 'amount': {'value': 1, 'unit': 'grams'}, 'add': '10', 'attribute': 'Flavour'}, {'name': 'Chinook', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Amarillo', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Citra', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Simcoe', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Amarillo', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 50, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","[""Goat's Cheese Bruschetta"", 'Pan-Fried Lemon Sole', 'Baked Peaches With Citrus Fruit']"
269,Small Batch: Imperial Pale Weizen,7.5,25.0,1010.0,1067.0,18.0,9.0,4.4,85.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter', 'amount': {'value': 3.74, 'unit': 'kilograms'}}, {'name': 'White Wheat', 'amount': {'value': 2.267, 'unit': 'kilograms'}}, {'name': 'Extra Dark Crystal', 'amount': {'value': 0.091, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 10, 'unit': 'grams'}, 'add': '60', 'attribute': 'Bitter'}, {'name': 'Ariana', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Cascade', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 12, 'unit': 'grams'}, 'add': '15', 'attribute': 'Flavour'}, {'name': 'Ariana', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}], 'yeast': 'WLP351 - Bavarian Weizen'}","['Soft pretzel with mustard', 'Hot Smoked Salmon Salad', 'Rum Fried Banana']"
270,Blonde Export Stout,7.0,55.0,1020.0,1075.0,16.0,8.0,4.4,73.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 30}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 5.3, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.8, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 7, 'unit': 'grams'}, 'add': '60', 'attribute': 'Bittering'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Callista', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Ground Coffee', 'amount': {'value': 33, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Cocoa Nibs', 'amount': {'value': 33, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Oak Chips', 'amount': {'value': 33, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}, {'name': 'Vanilla', 'amount': {'value': 3, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Flavour'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Duck Crackling', 'Coq Au Vin', 'Oreo Cheesecake']"
271,Small Batch: Cranachan Cream Ale,6.5,8.0,1019.0,1069.0,10.0,5.0,4.3,72.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter', 'amount': {'value': 4.533, 'unit': 'kilograms'}}, {'name': 'Torrified Wheat', 'amount': {'value': 0.567, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.567, 'unit': 'kilograms'}}], 'hops': [{'name': 'Amarillo', 'amount': {'value': 50, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Citra', 'amount': {'value': 50, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 50, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Milk Sugars', 'amount': {'value': 500, 'unit': 'grams'}, 'add': 'Flame out', 'attribute': 'Flavour'}, {'name': 'Raspberry Juice', 'amount': {'value': 3000, 'unit': 'grams'}, 'add': 'Flame out', 'attribute': 'Flavour'}, {'name': 'Amarillo', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Citra', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}, {'name': 'Mosaic', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'Dry Hop', 'attribute': 'Aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Gingerbread Man', 'Feta And Tomato Salad With Balsamic Dressing', 'Raspberry Parfait']"
272,Small Batch: Spelt & Honey Saison,5.2,22.0,1008.0,1046.0,8.0,4.0,4.1,83.0,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter', 'amount': {'value': 1.7, 'unit': 'kilograms'}}, {'name': 'Spelt', 'amount': {'value': 1.133, 'unit': 'kilograms'}}, {'name': 'White Wheat', 'amount': {'value': 0.567, 'unit': 'kilograms'}}, {'name': 'Pilsner', 'amount': {'value': 0.567, 'unit': 'kilograms'}}], 'hops': [{'name': 'Magnum', 'amount': {'value': 10, 'unit': 'grams'}, 'add': '60', 'attribute': 'Bittering'}, {'name': 'Mandarina Bavaria', 'amount': {'value': 20, 'unit': 'grams'}, 'add': '0', 'attribute': 'Aroma'}, {'name': 'Golden Honey', 'amount': {'value': 200, 'unit': 'grams'}, 'add': 'Flame Out', 'attribute': 'Flavour'}], 'yeast': 'WLP351 - Bavarian Weizen'}","['Pancakes', 'Honey Mustard Chicken', 'Crème Brûlée']"
